🇨🇳｜蓝光频道,#genre#
综艺3台,http://39.135.32.6:6610/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
综艺3台,http://39.135.32.6:6610/PLTV/77777777/224/3221225677/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
中文国际4台,http://39.135.32.6:6610/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
中文国际4台,http://39.135.32.6:6610/PLTV/77777777/224/3221225775/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
中文国际4台,http://39.135.32.6:6610/PLTV/77777777/224/3221225753/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
体育5台,http://39.135.32.6:6610/PLTV/77777777/224/3221225516/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
体育5台,http://39.135.32.6:6610/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
体育赛事,http://39.135.32.6:6610/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
电影6台,http://39.135.32.6:6610/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
国防军事7台,http://39.135.32.6:6610/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
电视剧8台,http://39.135.32.6:6610/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
电视剧8台,http://39.135.32.6:6610/PLTV/77777777/224/3221225630/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
纪录9台,http://39.135.32.6:6610/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
科教10台,http://39.135.32.6:6610/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
戏曲11台,http://39.135.32.6:6610/PLTV/77777777/224/3221225739/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
戏曲11台,http://39.135.32.6:6610/PLTV/77777777/224/3221225750/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
社会与法12台,http://39.135.32.6:6610/PLTV/77777777/224/3221225645/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
新闻13台,http://39.135.32.6:6610/PLTV/77777777/224/3221225798/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
新闻13台,http://39.135.32.6:6610/PLTV/77777777/224/3221225759/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
新闻13台,http://39.135.32.6:6610/PLTV/77777777/224/3221225742/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
新闻13台,http://39.135.32.6:6610/PLTV/77777777/224/3221225787/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
少儿14台,http://39.135.32.6:6610/PLTV/77777777/224/3221225648/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
音乐15台,http://39.135.32.6:6610/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
音乐15台,http://39.135.32.6:6610/PLTV/77777777/224/3221225830/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
奥林匹克16台,http://39.135.32.6:6610/PLTV/77777777/224/3221225956/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
奥林匹克16台,http://39.135.32.6:6610/PLTV/77777777/224/3221225897/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
农业农村17台,http://39.135.32.6:6610/PLTV/77777777/224/3221225513/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
农业农村17台,http://39.135.32.6:6610/PLTV/77777777/224/3221225766/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
农业农村17台,http://39.135.32.6:6610/PLTV/77777777/224/3221225833/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
综合1台,http://39.135.55.105:6610/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1?zzhongd
综合1台,http://39.135.55.105:6610/PLTV/88888888/224/3221227014/index.m3u8?servicetype=1?zzhongd
综合1台,http://39.135.55.105:6610/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1?zzhongd
综合1台,http://39.135.55.105:6610/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1?zzhongd
财经2台,http://39.135.55.105:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1?zzhongd
财经2台,http://39.135.55.105:6610/PLTV/88888888/224/3221226795/index.m3u8?servicetype=1?zzhongd
财经2台,http://39.135.55.105:6610/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1?zzhongd
综艺3台,http://39.135.55.105:6610/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1?zzhongd
中文国际4台,http://39.135.55.105:6610/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1?zzhongd
中文国际4台,http://39.135.55.105:6610/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1?zzhongd
体育5台,http://39.135.55.105:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1?zzhongd
体育赛事,http://39.135.55.105:6610/PLTV/88888888/224/3221225821/index.m3u8?servicetype=1?zzhongd
体育赛事,http://39.135.55.105:6610/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1?zzhongd
电影6台,http://39.135.55.105:6610/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1?zzhongd
国防军事7台,http://39.135.55.105:6610/PLTV/88888888/224/3221225805/index.m3u8?servicetype=1?zzhongd
国防军事7台,http://39.135.55.105:6610/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1?zzhongd
电视剧8台,http://39.135.55.105:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1?zzhongd
纪录9台,http://39.135.55.105:6610/PLTV/88888888/224/3221225820/index.m3u8?servicetype=1?zzhongd
纪录9台,http://39.135.55.105:6610/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1?zzhongd
科教10台,http://39.135.55.105:6610/PLTV/88888888/224/3221225814/index.m3u8?servicetype=1?zzhongd
科教10台,http://39.135.55.105:6610/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1?zzhongd
戏曲11台,http://39.135.55.105:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1?zzhongd
社会与法12台,http://39.135.55.105:6610/PLTV/88888888/224/3221225816/index.m3u8?servicetype=1?zzhongd
社会与法12台,http://39.135.55.105:6610/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1?zzhongd
新闻13台,http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1?zzhongd
少儿14台,http://39.135.55.105:6610/PLTV/88888888/224/3221225819/index.m3u8?servicetype=1?zzhongd
少儿14台,http://39.135.55.105:6610/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1?zzhongd
音乐15台,http://39.135.55.105:6610/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1?zzhongd
奥林匹克16台,http://39.135.55.105:6610/PLTV/88888888/224/3221227148/index.m3u8?servicetype=1?zzhongd
奥林匹克16台,http://39.135.55.105:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1?zzhongd
农业农村17台,http://39.135.55.105:6610/PLTV/88888888/224/3221226990/index.m3u8?servicetype=1?zzhongd
农业农村17台,http://39.135.55.105:6610/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1?zzhongd
综合1台,http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8?zzhongd
财经2台,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8?zzhongd
综艺3台,http://117.148.179.157/PLTV/88888888/224/3221231682/index.m3u8?zzhongd
中文国际4台,http://117.148.179.157/PLTV/88888888/224/3221231726/index.m3u8?zzhongd
体育5台,http://117.148.179.142/PLTV/88888888/224/3221232440/index.m3u8?zzhongd
体育赛事,http://117.148.179.157/PLTV/88888888/224/3221233107/index.m3u8?zzhongd
电影6台,http://117.148.179.157/PLTV/88888888/224/3221232689/index.m3u8?zzhongd
国防军事7台,http://117.148.179.157/PLTV/88888888/224/3221231633/index.m3u8?zzhongd
电视剧8台,http://117.148.179.157/PLTV/88888888/224/3221231694/index.m3u8?zzhongd
纪录9台,http://117.148.179.157/PLTV/88888888/224/3221231697/index.m3u8?zzhongd
科教10台,http://117.148.179.157/PLTV/88888888/224/3221231666/index.m3u8?zzhongd
戏曲11台,http://117.148.179.157/PLTV/88888888/224/3221231711/index.m3u8?zzhongd
社会与法12台,http://117.148.179.157/PLTV/88888888/224/3221231660/index.m3u8?zzhongd
新闻13台,http://183.207.249.11/PLTV/3/224/3221225560/index.m3u8?zzhongd
少儿14台,http://117.148.179.157/PLTV/88888888/224/3221231648/index.m3u8?zzhongd
音乐15台,http://117.148.179.157/PLTV/88888888/224/3221231693/index.m3u8?zzhongd
奥林匹克16台,http://117.148.179.157/PLTV/88888888/224/3221233442/index.m3u8?zzhongd
农业农村17台,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8?zzhongd
中文国际欧洲,http://117.148.179.157/PLTV/88888888/224/3221231615/index.m3u8?zzhongd
中文国际欧洲,http://117.148.179.157/PLTV/88888888/224/3221232852/index.m3u8?zzhongd
中文国际美洲,http://117.148.179.157/PLTV/88888888/224/3221231654/index.m3u8?zzhongd
中文国际美洲,http://117.148.179.157/PLTV/88888888/224/3221232866/index.m3u8?zzhongd
4K超高清,http://39.135.55.7:6610/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zzhongd
4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233404/index.m3u8?zzhongd
8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233350/index.m3u8?zzhongd
8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233413/index.m3u8?zzhongd
8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233457/index.m3u8?zzhongd
8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233439/index.m3u8?zzhongd
🇨🇳｜央视频道,#genre#
CCTV-1综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV-2财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3综艺,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
CCTV-4中文国际,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV-5体育,http://112.74.200.9:88/tv000000/m3u8.php?/migu/641886683
CCTV-5体育,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV-6电影,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV-7国防军事,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV-8电视剧,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV-9纪录,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV-10科教,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
CCTV-11戏曲,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8
CCTV-12社会与法,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV-13新闻,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿,http://117.148.179.182/PLTV/88888888/224/3221231648/index.m3u8
CCTV-15音乐,http://117.148.179.169/PLTV/88888888/224/3221231693/index.m3u8
CCTV-16奥林匹克,http://117.148.179.157/PLTV/88888888/224/3221233392/index.m3u8
CCTV-16奥林匹克,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-16奥林匹克,http://117.148.179.157/PLTV/88888888/224/3221233403/index.m3u8
CCTV-16奥林匹克,http://117.148.179.157/PLTV/88888888/224/3221233409/index.m3u8
CCTV-16奥林匹克,http://117.148.179.157/PLTV/88888888/224/3221233406/index.m3u8
CCTV-17农业农村,http://129.226.106.4/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225608/index.m3u8
CCTV-1综合,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV-2财经,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV-3综艺,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV-4中文国际,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV-7国防军事,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV-8电视剧,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV-9纪录,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV-10科教,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV-11戏曲,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV-12社会与法,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV-14少儿,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV-15音乐,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV-16奥林匹克,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV-17农业农村,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CCTV-1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://cctvalih5ca.v.myalicdn.com/live/cctv1_2/index.m3u8
CCTV-1综合,http://39.134.39.39/PLTV/88888888/224/3221226247/index.m3u8
CCTV-1综合,http://39.135.34.142:8080/000000001000/1000000001000021973/1.m3u8?
CCTV-1综合,http://39.134.39.39/270000001322/69900158041111100000002133/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-2财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://cctvalih5ca.v.myalicdn.com/live/cctv2_2/index.m3u8
CCTV-2财经,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV-2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://39.134.39.4/PLTV/88888888/224/3221226220/index.m3u8
CCTV-2财经,http://39.135.34.142:8080/000000001000/1000000001000012442/1.m3u8?
CCTV-2财经,http://112.74.200.9:88/tv000000/m3u8.php?/migu/672926537
CCTV-2财经,http://39.134.39.39/270000001322/69900158041111100000002135/index.m3u8
CCTV-3综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV-3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺,http://39.135.34.142:8080/000000001000/1000000001000011218/1.m3u8?
CCTV-3综艺,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878271
CCTV-4中文国际,http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8
CCTV-4中文国际,http://39.135.34.142:8080/000000001000/1000000002000031664/1.m3u8?
CCTV-4中文国际,http://39.134.39.39/270000001322/69900158041111100000002173/index.m3u8
CCTV-4中文国际,http://183.207.248.71:80/cntv/live1/cctv-4/cctv-4
CCTV-4中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育,http://39.135.34.142:8080/000000001000/1000000001000004794/1.m3u8?
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6电影,http://183.207.248.71:80/cntv/live1/cctv-6/cctv-6
CCTV-6电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878396
CCTV-7国防军事,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事,http://39.135.32.29:6610/000000001000/1000000001000017218/1.m3u8?
CCTV-7国防军事,http://cctvalih5ca.v.myalicdn.com/live/cctv7_2/index.m3u8
CCTV-7国防军事,http://39.134.39.39/270000001322/69900158041111100000002141/index.m3u8
CCTV-7国防军事,http://39.135.34.142:8080/000000001000/1000000001000017218/1.m3u8?
CCTV-7国防军事,http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168121
CCTV-8电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8电视剧,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878356
CCTV-9纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9纪录,http://39.134.39.39/270000001322/69900158041111100000002144/index.m3u8
CCTV-9纪录,http://39.135.34.142:8080/000000001000/1000000001000014583/1.m3u8?
CCTV-9纪录,http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168140
CCTV-10科教,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教,http://cctvalih5ca.v.myalicdn.com/live/cctv10_2/index.m3u8
CCTV-10科教,http://39.134.39.39/270000001322/69900158041111100000002146/index.m3u8
CCTV-10科教,http://39.135.34.142:8080/000000001000/1000000001000023734/1.m3u8?
CCTV-10科教,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878405
CCTV-11戏曲,http://cctvalih5ca.v.myalicdn.com/live/cctv11_2/index.m3u8
CCTV-11戏曲,http://39.135.34.142:8080/000000001000/1000000002000019789/1.m3u8?
CCTV-11戏曲,http://39.134.39.39/270000001322/69900158041111100000002177/index.m3u8
CCTV-11戏曲,http://183.207.248.71:80/cntv/live1/n-cctv-11/n-cctv-11
CCTV-11戏曲,http://112.74.200.9:88/tv000000/m3u8.php?/migu/672923822
CCTV-12社会与法,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12社会与法,http://39.135.32.29:6610/000000001000/1000000001000032494/1.m3u8?
CCTV-12社会与法,http://cctvalih5ca.v.myalicdn.com/live/cctv12_2/index.m3u8
CCTV-12社会与法,http://39.134.39.39/270000001322/69900158041111100000002147/index.m3u8
CCTV-12社会与法,http://39.135.34.142:8080/000000001000/1000000001000032494/1.m3u8?
CCTV-12社会与法,http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168185
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://cctvalih5ca.v.myalicdn.com/live/cctv13_2/index.m3u8
CCTV-13新闻,http://39.135.34.142:8080/000000001000/1000000002000021303/1.m3u8?
CCTV-13新闻,http://39.134.39.39/270000001322/69900158041111100000002179/index.m3u8
CCTV-13新闻,http://183.207.248.71:80/cntv/live1/cctv-13/cctv-13
CCTV-13新闻,http://112.74.200.9:88/tv000000/m3u8.php?/migu/672922360
CCTV-14少儿,http://39.135.34.142:8080/000000001000/1000000001000008170/1.m3u8?
CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14少儿,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878440
CCTV-15音乐,http://cctvalih5ca.v.myalicdn.com/live/cctv15_2/index.m3u8
CCTV-15音乐,http://39.135.34.142:8080/000000001000/1000000002000008163/1.m3u8?
CCTV-15音乐,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil
CCTV-15音乐,http://183.207.248.71:80/cntv/live1/n-cctv-15/n-cctv-15
CCTV-15音乐,http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168223
CCTV-17农业农村,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17农业农村,http://cctvalih5ca.v.myalicdn.com/live/cctv17_2/index.m3u8
CCTV-17农业农村,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17农业农村,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv17/HD-8000k-1080P-cctv17
CCTV-17农业农村,http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168256
CCTV-5+体育赛事,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+体育赛事,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV-5+体育赛事,http://39.135.34.142:8080/000000001000/1000000001000020505/1.m3u8?
CCTV-5+体育赛事,http://39.134.39.39/270000001322/69900158041111100000002139/index.m3u8
